work_id	learning_question_zh	reading_focus_zh
DA-W-0033	“梵网”这个经名，为什么会让人找错书？	先用DN1锁定巴利长部第一经，再读见解与伦理主题；不要与汉文同名经自动合并。
DA-W-0034	出家修行到底被描述为带来什么成果？	从沙门生活、戒行与禅修的关系入手，逐段寻找回答，而不是只看“沙门果”三个字。
DA-W-0035	神通、知识与宇宙观，是同一种问题吗？	带着这三个关键词读《坚固经》，分清叙事中的主张、对话角色和文本的论证方式。
DA-W-0036	“缘起”为什么不能只画成一条简单直线？	从《大缘经》进入因缘与识的讨论；记录文本实际列出的关系，避免凭记忆补成固定公式。
DA-W-0037	《大念处经》与《念处经》哪些地方可以比较？	将DN22与MN10并排，先对照结构与段落，再研究增补和版本；标题相近不代表全文相同。
DA-W-0038	怎样才算把一个教法“拿对了”？	沿蛇喻、筏喻与见解主题阅读，区分比喻本身、它解释的问题和读者后来添加的意义。
DA-W-0039	从相信到实践，要经过哪些检查？	用象迹的阅读线索串起信、渐次训练与判断；先定位原文，不把现代励志说法当作经文。
DA-W-0040	佛陀传记中的修行经历，如何与教义相连？	对照苦行、觉悟与修习叙事，区分文本讲述的生平和可以独立验证的历史资料。
DA-W-0041	一名修行者的训练，可以拆成怎样的路径？	跟踪戒行、修习与僧团训练的顺序；把本经的结构与其他渐次修行文本分开记录。
DA-W-0042	诚实能不能成为一种每天检查自己的方法？	从对罗睺罗的教诫进入真实、行动与反省，注意谁对谁说话以及反省针对什么。
DA-W-0043	是不是每个宇宙问题，都必须先得到答案？	从未回答的问题与实践主题进入，核对文本拒绝、暂置或重新界定的究竟是什么问题。
DA-W-0044	一个关于暴力与改变的故事，能被怎样阅读？	将人物转变、业与责任分开追问；叙事中的救度意义不自动替代现实法律或伦理判断。
DA-W-0045	观察呼吸，怎样进入更大的修习框架？	先辨认入出息念与正念的文本结构；这里提供文献学习，不将修习文字改成医疗处方。
DA-W-0046	业的教说怎样解释差异，又有哪些误读风险？	读时分清文本中的因果论述与读者对现实人物的推断；不要用教说指责遭遇困境的人。
DA-W-0047	把经验分成“界”，会改变我们怎样理解自己？	沿元素、观察与无我主题读《界分别经》；术语先依当前文本解释，不直接套现代物理学。
DA-W-0048	“有”与“无”之间的讨论，怎样连到缘起？	从迦旃延的对话进入中道与见解；把早期经文的用语和后代中观解释分层比较。
DA-W-0049	从因缘走向解脱，路径里的条件怎样相接？	用《近因经》练习画有出处的关系图：每一条箭头都回到对应句子，而不是凭印象补齐。
DA-W-0050	“燃烧”这个比喻，到底指向什么经验？	围绕感官、离贪与比喻范围阅读；区别文学表达、修习说明与外部的心理学解释。
DA-W-0051	独处，是逃离他人，还是一种修行主题？	从《犀角经》的诗句进入独处与出离，留意诗体、语境和不同译文怎样塑造阅读感受。
DA-W-0052	诵读、三宝与护佑传统怎样联系起来？	把《宝经》的文本内容、诵持用途和不同社区的实践分成三层，不把仪式意义当实验结论。
DA-W-0053	“吉祥”会不会也与日常生活和伦理有关？	以《吉祥经》为入口读在家生活、行为与祝福；比较现代“好运”话语是否偏离文本。
DA-W-0054	一句很短的教导，为什么值得仔细读？	从婆醯迦的对话进入见闻与解脱，比较译词和上下文，避免截一句话替整部经下结论。
DA-W-0055	诗歌中的修行者，与教义提纲有什么不同？	从《长老偈》进入诗体与僧人声音；逐首区分叙述者、编辑归属和可以核对的历史线索。
DA-W-0056	女性修行者的声音，怎样被保存与翻译？	读《长老尼偈》时同时关注诗句、人物归属和译者选择，不把所有诗都当现代意义的日记。
DA-W-0057	一个“前世故事”可以有哪些文本层？	先选定具体本生，再分开偈颂、散文、注释和后来的图像改编；合集入口不等于逐篇对齐。
DA-W-0058	用问答讨论“我是谁”，会与论述有什么不同？	沿《弥兰王问经》的对话、比喻与无我主题阅读，注意不同语言版本的范围与结构。
DA-W-0059	一部修行论书，怎样把学习整理成系统？	先看《清净道论》的章节与术语组织，再与经藏文本比较；注释综合不等于佛陀时代原话。
DA-W-0060	一部般若经，怎样同时成为一件彩绘写本？	从八千颂的文本入口追到剑桥Add.1643；将作品、1015年写本及2025年研究分成三个层次。
DA-W-0061	“二万五千颂”与“八千颂”只是长短差别吗？	并排检查结构、段落与版次；长度名称只是入口，不足以证明简单的扩写或缩写关系。
DA-W-0062	大型般若文本，要怎样分层阅读才不迷路？	先看目录与段落单位，再追重复结构和主题；不要把十万颂直接等同汉译《大般若》的全部。
DA-W-0063	沿着善财的参访，我们可以怎样组织一次学习？	把人物、提问与场景变成故事导航；同时区分《入法界》独立文本和华严合集中的章节位置。
DA-W-0064	“十地”是怎样把菩萨道路分成阶段的？	先读文本对各阶段的安排，再比较不同传统的解释；阶段标签不能直接变成人物等级评定。
DA-W-0065	净土主题只能从阿弥陀佛开始吗？	用阿閦佛、愿与佛土三个入口展开阅读；对比其他净土文本时保留具体佛、经名和版本差异。
DA-W-0066	药师的愿、仪式与疗愈经验，怎样分层理解？	分别记录经文、信仰实践和当代经验；不把经典所述护佑直接当成已证实的医学疗效。
DA-W-0067	怎样在一部经中追踪“一乘”和“如来藏”？	用《胜鬘经》做概念阅读练习：标原词、论述位置和译文差异，不先把后代体系套进去。
DA-W-0068	“如来藏”这个概念有哪些需要澄清的问题？	从本经的具体表述出发，再进入不同传统的佛性解释；把经文陈述与现代哲学类比分开。
DA-W-0069	菩萨伦理如何进入具体生活与选择？	从郁伽所问的场景进入，记录谁在提问、义务指向谁、何种生活情境被讨论。
DA-W-0070	三昧、空与菩萨行，怎样在同一文本相遇？	跟着《三昧王经》的章节查这三个主题，再看研究导言如何解释它们的关联。
DA-W-0071	一部经怎样进入国家、仪式和忏悔的世界？	先区分《金光明经》的不同版本，再把文本内容、政治用途与地方接受史分别建档。
DA-W-0072	《首楞严三昧经》与《楞严经》是同一部吗？	用Toh132与各自规范经号先厘清身份，再比较三昧主题；不能因为简称接近就合并作品。
DA-W-0073	念佛、见佛与三昧在文本中如何关联？	从般舟传统的版本目录和关键词进入，把经文、注释与后来的修行传承放在不同层。
